keyword,count
seizure,34013
seized,32317
arrested,11680
from,4455
illegal,3986
ivory,3908
district,3602
poaching,3456
airport,3225
live,3219
harvesting,3145
convicted,3076
pieces,2579
skin,2405
tiger,2285
pangolin,2232
province,2080
elephant,2007
suspect,2001
rhino,1982
charged,1933
leopard,1913
tusks,1740
wood,1705
logs,1609
suspects,1593
national,1569
international,1483
timber,1434
region,1293
park,1217
scales,1206
enforcement,1182
action,1181
prosecution,1181
meat,1167
coral,1151
dead,1128
turtles,1085
skins,1075
horn,1030
port,955
city,868
killed,859
pradesh,833
warsaw,820
bear,795
state,794
wildlife,771
birds,742
village,741
poached,738
west,718
products,706
turtle,681
carvings,674
pangolins,671
forest,669
fined,666
tortoises,657
gdynia,636
sanders,628
reserve,627
deer,616
horns,587
rosewood,576
sawn,568
department,564
black,555
teak,545
county,537
teeth,510
odisha,470
fish,451
north,439
crocodile,437
shells,422
white,422
south,416
other,410
found,406
smuggling,406
assam,405
animal,404
bones,403
giant,403
indian,393
lion,389
area,387
bengal,381
regency,381
abalone,380
near,380
maharashtra,377
containing,373
python,372
tamil,370
nadu,370
shell,359
quang,359
snakes,353
cape,351
poachers,346
claws,345
shark,341
suspected,341
guangzhou,336
made,332
east,332
female,331
with,324
shenzhen,324
conch,323
animals,316
parrots,315
wild,313
fled,310
central,310
logging,309
parts,307
body,303
queen,299
tailed,292
kong,291
chinese,291
poisoned,290
tusk,285
border,280
african,278
township,277
trade,275
hong,271
town,270
madhya,270
commune,267
karnataka,265
market,264
three,264
river,264
including,260
macaque,260
monitor,258
cheetah,253
parcel,251
welfare,251
bago,251
people,249
clam,249
fishing,248
dried,248
western,246
injury,246
mortality,246
brussels,246
seahorses,245
green,244
vehicle,243
cucumbers,243
andhra,242
uttar,241
species,241
eggs,237
elsewhere,236
included,236
binh,236
illegally,234
kalimantan,233
lizards,233
highway,231
india,227
trees,225
yellow,224
fins,224
katowice,222
road,221
human,219
carcass,219
unauthorized,218
male,216
conflict,216
detained,214
piece,214
dong,213
barangay,212
china,211
baby,207
postal,207
medicinal,207
manila,206
asian,203
skull,202
yunnan,202
przemy,202
truck,201
game,200
kruger,197
sandalwood,197
sanctuary,194
tortoise,192
agarwood,192
