keyword,count
from,4370
seized,4303
were,3559
found,3546
transported,2407
inside,1633
suspects,1271
with,1140
house,1060
discovered,1030
truck,1000
hidden,889
bags,822
concealed,821
wood,675
plastic,659
boxes,645
declared,632
vehicle,600
that,589
been,548
ivory,539
residence,515
suspect,500
forest,463
luggage,421
wrapped,416
being,415
fishing,405
boat,371
shop,362
vessel,348
they,342
timber,338
goods,337
under,332
market,318
specimens,308
animals,297
which,296
sacks,295
birds,291
container,287
private,280
documentation,271
logs,261
contraband,254
cargo,252
within,243
when,242
containers,240
origin,240
items,236
packed,232
police,230
pangolin,226
trucks,225
contain,224
number,223
during,222
legal,222
kept,221
after,221
restaurant,219
black,216
into,215
have,201
documents,197
registration,197
white,195
loaded,192
three,191
wooden,190
back,190
passenger,189
customs,187
authorities,187
motorbike,187
warehouse,185
transport,183
area,182
tusks,182
fish,181
products,181
home,176
shipment,176
hotel,174
also,171
motorcycle,171
sack,169
package,167
turtles,167
pieces,163
scales,163
used,160
pangolins,158
cages,157
cardboard,156
plate,156
suitcases,153
suitcase,152
toyota,150
abandoned,149
covered,149
skin,148
other,147
wildlife,147
inspection,146
officers,144
illegal,143
pickup,142
small,140
property,139
four,138
meat,138
officials,138
contained,138
where,135
containing,135
driver,135
boot,133
river,133
through,132
them,129
vehicles,129
permit,128
carrying,128
parcel,127
then,126
airport,124
horns,124
their,123
carried,122
seat,121
raid,120
compartment,120
prove,120
lorry,119
stored,117
without,117
using,116
labelled,116
rhino,114
amongst,113
trunk,113
farm,113
placed,109
baggage,108
dried,108
some,108
