iteration,detection_rate,estimated_true_value_usd
1,0.230146397246364,133046427257.5402
2,0.2909002852292355,105259972074.94656
3,0.26677343207272824,114779630272.4613
4,0.25302743250279985,121015162652.3124
5,0.2526660890127562,121188229174.18654
6,0.1419947889553581,215642814254.6134
7,0.28429554103281207,107705368112.99928
8,0.25453208186757736,120299789618.48013
9,0.22800562969754037,134295613404.11778
10,0.14865586104753625,205980145579.53955
11,0.16782256401876014,182455536172.123
12,0.24592171983684058,124511799608.9918
13,0.29111474346848965,105182429220.1733
14,0.1581686511032736,193591812829.14523
15,0.1996561733700471,153364433380.53592
16,0.12515515037009908,244657577489.0268
17,0.12637769501581733,242290824310.3415
18,0.14368101431425956,213112052736.8412
19,0.13146664698544938,232911971225.769
20,0.10465336298723832,292586449453.68085
21,0.17601962461335446,173958761513.57382
22,0.16938680829914898,180770605499.25455
23,0.291393101747217,105081951893.24094
24,0.1040071111120836,294404445738.5746
25,0.1937991461299759,157999436588.26648
26,0.18948872342355544,161593552094.2821
27,0.2984700934349203,102590365243.7455
28,0.25949900715941315,117997198659.8508
29,0.1660265895421789,184429228982.2908
30,0.14780682309841775,207163345087.49146
31,0.1886704096900968,162294426296.73026
32,0.12374611148832344,247443378475.06912
33,0.23644298580697512,129503337962.50012
34,0.2591544399298427,118154085680.00104
35,0.11223309353091156,272826444825.65054
36,0.24642521434205258,124257397854.26646
37,0.14826121029515157,206528436122.07214
38,0.12992666677425063,235672604093.094
39,0.26283295811157337,116500442409.6044
40,0.1826828989036534,167613696101.74802
41,0.2600862654794864,117730768456.27745
42,0.19254936067038322,159024967900.26022
43,0.2145292954204887,142731815903.30682
44,0.172080983863589,177940381396.79828
45,0.24516897954917483,124894087156.2492
46,0.24246748887460487,126285614792.91321
47,0.12988179458856394,235754025395.32983
48,0.28777469482945645,106403226030.5921
49,0.20040533365467506,152791122578.5333
50,0.19731956336400536,155180537488.5042
51,0.16285430673938311,188021775493.0176
52,0.15537037928373548,197078465283.94684
53,0.12013562486766641,254879898727.39658
54,0.1390192735358441,220258350666.23593
55,0.2402684745208076,127441421355.3912
56,0.21856508104297534,140096285068.53128
57,0.263988970337271,115990284975.5547
58,0.27357603854371076,111925576753.06409
59,0.15821812618954112,193531276328.86502
60,0.14461229156595362,211739649294.32242
61,0.28805660977988035,106299091429.36119
62,0.2362866642101284,129589014268.67233
63,0.23978002257581446,127701030181.28516
64,0.25778070242167495,118783739869.46156
65,0.2232363858714111,137164717930.2624
66,0.1397450855426418,219114366569.11905
67,0.2688093755960934,113910297332.16016
68,0.2553162591967609,119930301329.63733
69,0.2320377707886779,131961946521.67122
70,0.19895457977665232,153905257844.26627
71,0.202277502158037,151376972590.35834
72,0.26859010085709173,114003292757.67067
73,0.29112387148286933,105179131288.19156
74,0.15756160209517647,194337678042.4392
75,0.1711173364113848,178942452833.7042
76,0.16548434476403623,185033550717.3475
77,0.2643846033105246,115816713667.92635
78,0.24302021369193985,125998390975.9803
79,0.29083217408379564,105284623327.13205
80,0.21079435535480368,145260796230.92493
81,0.16059092260896607,190671772740.12213
82,0.13200067566685147,231969690648.4303
83,0.20819364458683565,147075363230.17743
84,0.2552308745024337,119970422698.72937
85,0.1942334193208311,157646176476.1785
86,0.15855749578397116,193117050369.8051
87,0.14934112034931632,205034995239.0959
88,0.22094941219239453,138584464181.15125
89,0.2572776758628213,119015984566.6119
90,0.25435863858460644,120381820213.42374
91,0.17440979145699836,175564431583.9508
92,0.2941246476650929,104106052120.76335
93,0.18767638576749385,163154015219.35547
94,0.2529262629207237,121063568275.71043
95,0.18935223422223696,161710032234.87384
