origin_country,destination_country,count
Afghanistan,Pakistan,3
Albania,Albania,10
Albania,Italy,3
Algeria,China,4
Algeria,France,3
Algeria,Tunisia,15
Angola,Angola,181
Angola,Cambodia,15
Angola,China,8
Angola,Germany,4
Angola,Lao People's Democratic Republic,25
Angola,Thailand,8
Angola,Viet Nam,62
Argentina,Argentina,31
Argentina,Malta,3
Australia,Australia,28
Australia,China,4
Australia,Hong Kong,12
Australia,Japan,6
Australia,Philippines,16
Australia,Singapore,16
Australia,South Africa,11
Australia,Sweden,10
Australia,Thailand,17
Australia,United Kingdom of Great Britain and Northern Ireland,3
Australia,United States of America,6
Austria,Iceland,4
Austria,Mexico,4
Austria,Russian Federation,4
Azerbaijan,Qatar,3
Bahamas,Germany,10
Bangladesh,Bangladesh,33
Bangladesh,China,6
Bangladesh,Hong Kong,14
Bangladesh,India,23
Bangladesh,Indonesia,8
Bangladesh,Japan,4
Bangladesh,Malaysia,4
Bangladesh,Thailand,4
Belize,China,4
Benin,Cambodia,4
Benin,Canada,5
Benin,Cote d'Ivoire,5
Benin,Thailand,4
Bhutan,China,10
Bhutan,India,4
Bhutan,Nepal,4
Bolivia (Plurinational State of),Belgium,5
Bolivia (Plurinational State of),Bolivia (Plurinational State of),3
Bolivia (Plurinational State of),Brazil,3
Bolivia (Plurinational State of),Slovakia,5
Bolivia (Plurinational State of),Sweden,4
Bolivia (Plurinational State of),United States of America,4
Bosnia and Herzegovina,Croatia,4
Botswana,South Africa,4
Botswana,Zambia,22
Brazil,Brazil,386
Brazil,Colombia,7
Brazil,Hong Kong,4
Brazil,Portugal,6
Brazil,Russian Federation,22
Brazil,Suriname,4
Brazil,Taiwan Province of China,4
Brazil,United Kingdom of Great Britain and Northern Ireland,8
Brazil,United States of America,14
Bulgaria,Bulgaria,7
Bulgaria,Malaysia,4
Bulgaria,United Arab Emirates,7
Bulgaria,United States of America,18
Burkina Faso,China,4
Burkina Faso,Cote d'Ivoire,4
Burkina Faso,Nigeria,3
Burundi,Brazil,4
Burundi,China,16
Burundi,Czech Republic,5
Burundi,France,12
Burundi,Italy,16
Burundi,Philippines,4
Burundi,Singapore,12
Burundi,Taiwan Province of China,8
Cambodia,Cambodia,131
Cambodia,China,10
Cambodia,Thailand,16
Cambodia,United States of America,10
Cambodia,Viet Nam,118
Cameroon,Belgium,12
Cameroon,Cameroon,33
Cameroon,Cape Verde,4
Cameroon,China,29
Cameroon,Congo,2
Cameroon,France,3
Cameroon,Hong Kong,12
Cameroon,Italy,3
Cameroon,Malaysia,8
Cameroon,Nigeria,10
Cameroon,Poland,4
Cameroon,Senegal,3
Cameroon,Spain,8
Cameroon,Switzerland,4
Cameroon,Thailand,4
Cameroon,United Kingdom of Great Britain and Northern Ireland,5
Cameroon,United States of America,21
Cameroon,Viet Nam,13
Canada,Canada,12
Canada,China,9
Canada,Italy,4
Canada,Mexico,4
Canada,United States of America,20
Cayman Islands,Germany,5
Central African Republic,Cameroon,14
Central African Republic,China,4
Central African Republic,France,6
Central African Republic,Indonesia,7
Chad,Viet Nam,9
Chile,Brazil,5
Chile,United States of America,2
China,Belgium,6
China,Bulgaria,3
China,Canada,8
China,China,558
China,France,4
China,Ghana,4
China,Hong Kong,4
China,India,16
China,Italy,3
China,Mauritania,3
China,Nepal,8
China,Russian Federation,4
China,South Africa,4
China,United Kingdom of Great Britain and Northern Ireland,8
China,United States of America,10
Colombia,Brazil,5
Colombia,Canada,9
Colombia,Colombia,49
Colombia,Germany,4
Colombia,Hong Kong,12
Colombia,"Iran, Islamic Republic of",4
Colombia,Spain,4
Colombia,United States of America,25
Congo,China,12
Congo,Congo,10
Congo,Ghana,4
Congo,Iraq,4
Congo,Italy,4
Congo,Lebanon,4
Congo,Nigeria,5
Congo,Viet Nam,9
"Congo, Democratic Republic of The",Belgium,14
"Congo, Democratic Republic of The",China,71
"Congo, Democratic Republic of The",Hong Kong,15
"Congo, Democratic Republic of The",Iraq,4
"Congo, Democratic Republic of The",Italy,8
"Congo, Democratic Republic of The",Lao People's Democratic Republic,4
"Congo, Democratic Republic of The",Macau,6
"Congo, Democratic Republic of The",Malaysia,12
"Congo, Democratic Republic of The",Namibia,4
"Congo, Democratic Republic of The",Nigeria,5
"Congo, Democratic Republic of The",Romania,9
"Congo, Democratic Republic of The",Russian Federation,2
"Congo, Democratic Republic of The",Spain,4
"Congo, Democratic Republic of The",Thailand,5
"Congo, Democratic Republic of The",Turkey,8
"Congo, Democratic Republic of The",United Kingdom of Great Britain and Northern Ireland,4
"Congo, Democratic Republic of The",United States of America,2
"Congo, Democratic Republic of The",Viet Nam,34
Cote d'Ivoire,Cambodia,10
Cote d'Ivoire,China,24
Cote d'Ivoire,Cote d'Ivoire,11
Cote d'Ivoire,Hong Kong,8
Cote d'Ivoire,United States of America,12
Cote d'Ivoire,Viet Nam,4
Croatia,Italy,3
Cuba,China,3
Cuba,Hong Kong,4
Czech Republic,Germany,5
Czech Republic,Latvia,4
Czech Republic,Spain,4
Czech Republic,Ukraine,4
Czech Republic,Viet Nam,4
Dominican Republic,Canada,9
Dominican Republic,Italy,4
Dominican Republic,United States of America,9
Ecuador,China,4
Ecuador,Ecuador,7
Ecuador,Hong Kong,2
Ecuador,Lithuania,4
Ecuador,Peru,3
Ecuador,Ukraine,4
Egypt,Greece,3
Egypt,Malta,3
Equatorial Guinea,Cameroon,5
Equatorial Guinea,China,4
Equatorial Guinea,Nigeria,6
Equatorial Guinea,Spain,10
Eswatini,Hong Kong,6
Ethiopia,Cambodia,4
Ethiopia,Viet Nam,4
Fiji,United Kingdom of Great Britain and Northern Ireland,3
Finland,China,4
France,Bhutan,4
France,China,17
France,Mayotte,4
France,Philippines,4
