scenario,detection_rate,estimated_true_value_usd
baseline_10_30,0.22071995885741458,138728532110.70047
baseline_10_30,0.2284531752065408,134032524923.93742
baseline_10_30,0.14230252614011416,215176474588.18863
baseline_10_30,0.271881991881112,112622964426.46646
baseline_10_30,0.10808442528616913,283298503172.4232
baseline_10_30,0.2585923296136213,118410920948.71794
baseline_10_30,0.10209691729945657,299912638988.0364
baseline_10_30,0.10344492087415041,296004440247.7272
baseline_10_30,0.12843897719385675,238402364833.59265
baseline_10_30,0.12840509250911344,238465276582.78104
baseline_10_30,0.29819624983048487,102684577412.45879
baseline_10_30,0.1278955066714452,239415415730.62772
baseline_10_30,0.23995010364719896,127610513329.23967
baseline_10_30,0.26450183354395757,115765382377.71632
baseline_10_30,0.25219830132014626,121413014043.07796
baseline_10_30,0.26628915534134606,114988369919.0547
baseline_10_30,0.2715727788353898,112751197049.77249
baseline_10_30,0.13194752437767393,232063133008.68857
baseline_10_30,0.17471817466270426,175254554707.5222
baseline_10_30,0.2652956696695064,115418981161.5416
baseline_10_30,0.2903910190839318,105444569175.78836
baseline_10_30,0.11948247621101125,256273194788.38715
baseline_10_30,0.29485006034142497,103849922446.5695
baseline_10_30,0.15856976071195067,193102113305.48865
baseline_10_30,0.2520953811346864,121462581987.82297
baseline_10_30,0.25255146514824306,121243232074.89552
baseline_10_30,0.18289271486552422,167421408350.44986
baseline_10_30,0.19981126567926416,153245392824.71997
baseline_10_30,0.28272371966372584,108304163287.90247
baseline_10_30,0.1901630927688405,161020498005.07156
baseline_10_30,0.11218285453212705,272948625059.7616
baseline_10_30,0.11292576560627438,271152962616.01794
baseline_10_30,0.2724677491376691,112380845060.49908
baseline_10_30,0.2478734857201204,123531388647.17963
baseline_10_30,0.24538632392411175,124783465558.14137
baseline_10_30,0.28637541467800304,106923130724.23569
baseline_10_30,0.20624185362869263,148467226031.3869
baseline_10_30,0.28629828162663695,106951937419.43315
baseline_10_30,0.22666611138094478,135089254027.75264
baseline_10_30,0.2837133906496388,107926368331.4706
baseline_10_30,0.2695237441860539,113608379819.3529
baseline_10_30,0.2205893873815561,138810648432.7792
baseline_10_30,0.1553189983461761,197143660633.04697
baseline_10_30,0.24955650135599045,122698289699.70975
baseline_10_30,0.25938880962765015,118047328039.2405
baseline_10_30,0.1790129748702367,171049924856.1135
baseline_10_30,0.1105770027372339,276912514734.972
baseline_10_30,0.22847516616391841,134019624162.80743
baseline_10_30,0.2715197270888475,112773227301.46861
baseline_10_30,0.12952875432775432,236396590538.8337
baseline_10_30,0.17879431378056085,171259114746.81616
baseline_10_30,0.2307645528336612,132690031999.38953
baseline_10_30,0.2649452325089168,115571643278.36243
baseline_10_30,0.16750911059939763,182796958268.45035
baseline_10_30,0.1473370431778685,207823879449.36563
baseline_10_30,0.15971391763489895,191718770369.28018
baseline_10_30,0.17889214512121107,171165457706.79968
baseline_10_30,0.1618703965353069,189164643784.29135
baseline_10_30,0.11900106152014825,257309939160.82822
baseline_10_30,0.132916836490353,230370784532.2192
baseline_10_30,0.23268075596082566,131597285617.28827
baseline_10_30,0.1460052775512632,209719514344.76355
baseline_10_30,0.15774036893125565,194117435551.12262
baseline_10_30,0.10517567105188515,291133449338.46747
baseline_10_30,0.15838152344523224,193331616174.35547
baseline_10_30,0.29905485396917525,102389763929.32736
baseline_10_30,0.26292286920262137,116460603038.0184
baseline_10_30,0.11734296020340643,260945827911.15262
baseline_10_30,0.25503739079018395,120061438069.73833
baseline_10_30,0.15044379110546396,203532200796.22968
baseline_10_30,0.17866576398175474,171382335470.5507
baseline_10_30,0.24356435386441785,125716901566.2624
baseline_10_30,0.10652790710892282,287437881122.6881
baseline_10_30,0.14925301118370243,205156034420.87784
baseline_10_30,0.1501708746005903,203902094738.8353
baseline_10_30,0.2508848238648522,122048657340.54095
baseline_10_30,0.16829968873347217,181938280042.30557
baseline_10_30,0.22261754875140916,137546011406.3874
baseline_10_30,0.23447677005598186,130589294165.52731
baseline_10_30,0.16527963155338582,185262730876.38702
baseline_10_30,0.21995665792696564,139209952489.77838
baseline_10_30,0.29089762314695733,105260935337.22156
baseline_10_30,0.21466005636467958,142644870305.09137
baseline_10_30,0.2159310147380931,141805270247.8294
baseline_10_30,0.12310333409309519,248735390681.35437
baseline_10_30,0.1794660570512724,170618090144.34036
baseline_10_30,0.27250044542074975,112367360914.01532
baseline_10_30,0.15857534792193564,193095309586.81662
baseline_10_30,0.24868790999410526,123126837571.4329
baseline_10_30,0.19945559269892787,153518662903.7949
baseline_10_30,0.28738166208748145,106548746629.84683
baseline_10_30,0.12300505269175539,248934130995.05698
baseline_10_30,0.20106609299131115,152289008277.22623
baseline_10_30,0.17329371109356778,176695136289.6854
baseline_10_30,0.2049136352967515,149429567512.57608
baseline_10_30,0.23499415288399453,130301777827.37872
baseline_10_30,0.14618762989650488,209457913241.36792
baseline_10_30,0.2551686825489187,119999662944.34698
baseline_10_30,0.12371975118216931,247496099913.23962
baseline_10_30,0.15090377891783374,202911790012.20258
baseline_10_30,0.128158341589088,238924408042.04712
baseline_10_30,0.14024688561303628,218330380499.92255
baseline_10_30,0.12770980999049644,239763538150.295
baseline_10_30,0.29757087273503263,102900380062.02498
baseline_10_30,0.2464100932804425,124265022963.05748
baseline_10_30,0.2468664592821778,124035302279.85858
baseline_10_30,0.13077380206433217,234145948320.44574
baseline_10_30,0.14392088645081455,212756860070.39615
baseline_10_30,0.17933234254482955,170745307094.66916
baseline_10_30,0.16902724298617114,181155152026.75638
baseline_10_30,0.14903888772650364,205450781114.34488
baseline_10_30,0.23664755875854937,129391387177.01692
baseline_10_30,0.22678143668003664,135020557008.92729
baseline_10_30,0.2548387797032184,120155009121.77934
baseline_10_30,0.1326080601952103,230907200171.30075
baseline_10_30,0.2189209798870633,139868531173.30103
baseline_10_30,0.178924383326074,171134617488.22
baseline_10_30,0.16440318770662216,186250378274.08224
baseline_10_30,0.10833856641084359,282633940195.45154
baseline_10_30,0.1087793016946138,281488807363.2438
baseline_10_30,0.2559484918722703,119634054789.05554
baseline_10_30,0.23842871913742478,128424780414.87349
baseline_10_30,0.2675529477456934,114445219751.1481
baseline_10_30,0.21698624686105586,141115652917.07413
baseline_10_30,0.22123141325161022,138407812207.92773
baseline_10_30,0.2605403676793715,117525572611.09483
baseline_10_30,0.15466494637491737,197977347922.12177
baseline_10_30,0.16958291837859116,180561557688.6365
baseline_10_30,0.17251920962753287,177488385009.01965
baseline_10_30,0.26928196209654404,113710386174.49342
baseline_10_30,0.24556552162604836,124692406723.33574
baseline_10_30,0.2148598161243392,142512250322.80334
baseline_10_30,0.10739027642108719,285129686972.39276
baseline_10_30,0.23261895696233556,131632246570.43398
baseline_10_30,0.13713060894442577,223291912254.48868
baseline_10_30,0.29225575264261816,104771781643.13794
baseline_10_30,0.2966576332568639,103217151581.97383
baseline_10_30,0.21827919871091578,140279770498.77295
baseline_10_30,0.19098500296725637,160327541032.49158
baseline_10_30,0.23609797344959374,129692582500.5467
baseline_10_30,0.18642784856711656,164246683825.2422
baseline_10_30,0.27471012845372955,111463512729.49438
baseline_10_30,0.1047057985420455,292439925259.0346
baseline_10_30,0.13966770082802843,219235769746.97708
baseline_10_30,0.21170920238112903,144633088951.41675
baseline_10_30,0.2537759804624544,120658211403.71283
baseline_10_30,0.2458421947789007,124552076698.47603
baseline_10_30,0.21777422809515667,140605048483.71597
baseline_10_30,0.2933096296722307,104395331084.22287
baseline_10_30,0.24592594777643886,124509659011.9024
baseline_10_30,0.20632653206186788,148406293625.10556
baseline_10_30,0.2977240006193484,102847455482.6783
baseline_10_30,0.11309532239758904,270746439823.36868
baseline_10_30,0.2521707917581567,121426259109.30022
baseline_10_30,0.2740251192874839,111742149695.77023
baseline_10_30,0.21826408020249774,140289487264.30396
baseline_10_30,0.1460119679757552,209709904772.37933
baseline_10_30,0.2903078587111789,105474774385.2386
baseline_10_30,0.2792011171983803,109670606647.56163
baseline_10_30,0.1830671225698506,167261906288.71646
baseline_10_30,0.27253232525322757,112354216592.00294
baseline_10_30,0.2834517970199503,108025972040.91167
baseline_10_30,0.18177218981147966,168453468770.8842
baseline_10_30,0.16785387338670965,182421503192.11978
baseline_10_30,0.21386602658776224,143174474171.37106
baseline_10_30,0.17261111491156475,177393882865.02405
baseline_10_30,0.28180536344651563,108657108315.23892
baseline_10_30,0.19990293233589768,153175121255.2108
baseline_10_30,0.17556957273938786,174404684263.11716
baseline_10_30,0.10254935542950466,298589452577.0324
baseline_10_30,0.2503408859474537,122313843317.82889
baseline_10_30,0.2540242932099166,120540266101.71461
baseline_10_30,0.17744631165960206,172560114738.04218
baseline_10_30,0.15579107319388416,196546280040.80896
baseline_10_30,0.17098722121508048,179078621678.44113
baseline_10_30,0.170630245132197,179453272636.9826
baseline_10_30,0.29169399455506917,104973556094.39026
baseline_10_30,0.12119474531720463,252652504196.28986
baseline_10_30,0.10819571152454044,283007112466.5436
baseline_10_30,0.20429830091336057,149879640520.40164
baseline_10_30,0.12136463283902936,252298838496.35196
baseline_10_30,0.22096944176407904,138571902319.9386
baseline_10_30,0.2271067164660718,134827170135.2248
baseline_10_30,0.16442304720694415,186227882404.37213
baseline_10_30,0.21716018649319763,141002622968.28738
baseline_10_30,0.24036354312314206,127391015717.122
baseline_10_30,0.21669823857757145,141303206250.39243
baseline_10_30,0.12286670558182244,249214429204.5984
baseline_10_30,0.26348280240221594,116213110004.35071
baseline_10_30,0.2033197734377894,150600973934.25583
baseline_10_30,0.12042347803610254,254270648873.3327
baseline_10_30,0.2527357424868729,121154829936.30682
baseline_10_30,0.1122440743162217,272799754342.1145
baseline_10_30,0.21653857747529565,141407393808.69305
baseline_10_30,0.11868094162830825,258003985136.2258
baseline_10_30,0.10237112882793041,299109292340.5283
baseline_10_30,0.2967394397254217,103188696211.58784
baseline_10_30,0.2880669057394411,106295292134.38876
baseline_10_30,0.12095625151161309,253150668255.31924
baseline_10_30,0.14187782241919322,215820593928.717
baseline_10_30,0.13929273572515627,219825935217.764
baseline_10_30,0.13659997950588584,224159300832.86694
baseline_10_30,0.12538118017407143,244216523223.91766
baseline_10_30,0.23175905768276459,132120643766.75482
baseline_10_30,0.2558186156659523,119694791640.21077
baseline_10_30,0.299762088275454,102148193842.59892
baseline_10_30,0.14781265618408085,207155169863.73633
baseline_10_30,0.14235027471953654,215104297902.84717
baseline_10_30,0.1261700744187911,242689528724.43512
baseline_10_30,0.12714515958544836,240828325668.54373
baseline_10_30,0.10850600397673471,282197802680.0133
baseline_10_30,0.22282621966162053,137417203174.3952
baseline_10_30,0.2916106465938664,105003559566.42694
baseline_10_30,0.20674226050720115,148107870276.26978
baseline_10_30,0.24372976171733537,125631583455.67549
baseline_10_30,0.2566047949679508,119328073755.00404
baseline_10_30,0.21773756974405792,140628720784.45685
baseline_10_30,0.21016150290939506,145698215305.5134
baseline_10_30,0.1294658951078763,236511367525.08722
baseline_10_30,0.23345761447852784,131159379693.90842
baseline_10_30,0.250215010764031,122375375507.34761
baseline_10_30,0.23435273688760577,130658409654.11287
baseline_10_30,0.1660207636572519,184435700844.25287
baseline_10_30,0.2388832439371884,128180425697.31068
baseline_10_30,0.24637108607960362,124284697474.32054
baseline_10_30,0.16978806735573088,180343391480.33066
baseline_10_30,0.2921437403753289,104811952706.85713
baseline_10_30,0.1522685072142306,201093164043.0612
baseline_10_30,0.1324053866751362,231260650859.7081
baseline_10_30,0.10867822025639802,281750619651.141
baseline_10_30,0.12623866872634976,242557658511.11188
baseline_10_30,0.21987927411622987,139258945723.26663
baseline_10_30,0.2496565705945776,122649108841.39323
baseline_10_30,0.2968148240021992,103162488608.03679
baseline_10_30,0.12744140726779957,240268501080.4967
baseline_10_30,0.16157399173764822,189511663173.74918
baseline_10_30,0.16432734945173594,186336334164.61008
baseline_10_30,0.10471733354756008,292407711908.7108
baseline_10_30,0.1892625411414104,161786667954.252
baseline_10_30,0.12758508232021104,239997931913.1788
baseline_10_30,0.23591223504055378,129794692058.08531
baseline_10_30,0.2697833073886213,113499075225.2702
baseline_10_30,0.11596503542155034,264046449764.0556
baseline_10_30,0.2722783416433475,112459021584.36131
baseline_10_30,0.12247395354954678,250013615241.3497
baseline_10_30,0.2014456919641658,152002038868.47177
baseline_10_30,0.2705235004530522,113188524651.437
baseline_10_30,0.22896128216445003,133735082239.05989
baseline_10_30,0.29410209292352607,104114036032.32886
baseline_10_30,0.16064458526108613,190608079631.55557
baseline_10_30,0.22175945451552243,138078243233.0524
baseline_10_30,0.11891997556966893,257485386732.90082
baseline_10_30,0.12254334784383279,249872036618.79013
baseline_10_30,0.1413946193398149,216558140916.47745
baseline_10_30,0.1386994207562503,220766285344.73145
baseline_10_30,0.299489526341508,102241157725.51976
baseline_10_30,0.18955027915544287,161541075203.1281
baseline_10_30,0.27869856069748256,109868367540.87302
baseline_10_30,0.28728361175255485,106585111879.6059
baseline_10_30,0.14893870322866223,205588978794.94012
baseline_10_30,0.14392630799523268,212748845755.40952
baseline_10_30,0.1603709298813795,190933331386.6293
baseline_10_30,0.18532307033244066,165225818053.28143
baseline_10_30,0.28863228114310135,106087079998.65794
baseline_10_30,0.18235932572444954,167911105056.89905
baseline_10_30,0.16769808786731782,182590966237.19342
baseline_10_30,0.29790907623966134,102783561636.73938
baseline_10_30,0.203655701407542,150352559187.86356
baseline_10_30,0.19946730599656556,153509647843.49442
baseline_10_30,0.26230587465524796,116734541077.54085
baseline_10_30,0.21081959583444432,145243404810.76147
baseline_10_30,0.2989291856811131,102432808058.05226
baseline_10_30,0.10428117826282497,293630705079.3945
baseline_10_30,0.23874027642525078,128257185416.34698
baseline_10_30,0.2754568817377515,111161339323.4271
baseline_10_30,0.24520820822899272,124874106462.32552
baseline_10_30,0.21263830154246,144001130923.76746
baseline_10_30,0.19381372825394375,157987549053.81818
baseline_10_30,0.20940631483124336,146223651013.10117
baseline_10_30,0.1645439717886394,186091022156.40958
baseline_10_30,0.26994658387244375,113430425607.06041
baseline_10_30,0.290074777120032,105559525732.74857
baseline_10_30,0.11232586183564193,272601121410.73547
baseline_10_30,0.19458892791364465,157358161269.1347
baseline_10_30,0.20579675475687978,148788332138.65192
baseline_10_30,0.23204172567385276,131959697381.5891
baseline_10_30,0.14033035204186803,218200520801.71292
baseline_10_30,0.1886255812844388,162332996888.9507
baseline_10_30,0.15027560037560922,203759997120.55176
baseline_10_30,0.1184564107263382,258493024666.79486
baseline_10_30,0.20106910335065456,152286728241.99792
baseline_10_30,0.22233414763318665,137721336222.00647
baseline_10_30,0.13795944033424729,221950421266.11267
baseline_10_30,0.2339359228142979,130891209573.35866
baseline_10_30,0.23970872381715969,127739013466.94067
baseline_10_30,0.2881195368239102,106275875066.87343
baseline_10_30,0.28176760344174945,108671669580.8981
baseline_10_30,0.2151823143330455,142298664250.03403
baseline_10_30,0.15647871626582027,195682560737.56976
baseline_10_30,0.25679570482962916,119239361577.86687
baseline_10_30,0.20825744286237988,147030307675.76288
baseline_10_30,0.1975702199358488,154983660542.392
baseline_10_30,0.16981191909742516,180318060490.53485
baseline_10_30,0.15677830422697694,195308630558.29947
baseline_10_30,0.23475279550968087,130435745539.65468
baseline_10_30,0.12915800058520208,237075177388.0552
baseline_10_30,0.1700423138401968,180073742872.02234
baseline_10_30,0.24100371471376003,127052630438.45969
baseline_10_30,0.2731045454516045,112118807283.8186
baseline_10_30,0.20293501444965514,150886509077.11978
baseline_10_30,0.10629062144611767,288079564153.69836
baseline_10_30,0.2376365470996431,128852890153.2306
baseline_10_30,0.11261900148132871,271891559124.6819
baseline_10_30,0.26158049411909484,117058253915.07323
baseline_10_30,0.14752476787510932,207559424365.5788
baseline_10_30,0.19689449623297783,155515550132.95874
baseline_10_30,0.1462953937718129,209303622693.57373
baseline_10_30,0.14724719199944186,207950694909.9538
baseline_10_30,0.1658468138866531,184629147719.11426
baseline_10_30,0.14514632976468902,210960593695.09836
baseline_10_30,0.1810017492683394,169170497100.71152
baseline_10_30,0.25479172752551094,120177198047.99193
baseline_10_30,0.22712091009065574,134818744287.35439
baseline_10_30,0.12109687424677405,252856699153.31464
baseline_10_30,0.1118283231713853,273813959035.18677
baseline_10_30,0.2592605351113902,118105734398.28589
baseline_10_30,0.19014738094118577,161033803086.11456
baseline_10_30,0.10061907905625037,304317592518.46606
baseline_10_30,0.16670133152538275,183682731383.34802
baseline_10_30,0.2909988393398776,105224323125.4264
baseline_10_30,0.11748166894715653,260637733309.6649
baseline_10_30,0.22714718644433815,134803148474.51001
baseline_10_30,0.24097513387745587,127067699505.43828
baseline_10_30,0.12807425488017804,239081273035.47858
baseline_10_30,0.26613659030156195,115054287969.675
baseline_10_30,0.2084614768539353,146886400125.0372
baseline_10_30,0.25451158486737885,120309477919.36035
baseline_10_30,0.22705759083364208,134856341016.39766
baseline_10_30,0.1055759794572452,290029569768.0312
baseline_10_30,0.15317719302279864,199900228588.63766
baseline_10_30,0.19754076382886954,155006770786.55878
baseline_10_30,0.1137057704106239,269292893309.1542
baseline_10_30,0.10640955418986667,287757580914.0949
baseline_10_30,0.17283504740883465,177164043745.08905
baseline_10_30,0.28766464984224216,106443930168.74228
baseline_10_30,0.2546454766086688,120246219597.60713
baseline_10_30,0.11905798534416134,257186914521.60498
baseline_10_30,0.1810520015385955,169123542626.48633
baseline_10_30,0.11717646613515043,261316601445.4325
baseline_10_30,0.2904807840221955,105411984489.42375
baseline_10_30,0.23490264033565378,130352540337.86082
baseline_10_30,0.1405436825785136,217869315347.68643
baseline_10_30,0.15169250918844224,201856743379.3648
baseline_10_30,0.12312486798991853,248691888159.673
baseline_10_30,0.1821399677697278,168113326661.6976
baseline_10_30,0.1499846776208072,204155226957.49973
baseline_10_30,0.19877116599845662,154047272128.2979
baseline_10_30,0.21337710031892854,143502540122.89166
baseline_10_30,0.12002488093901924,255115069977.70267
baseline_10_30,0.2469888570655571,123973835352.80685
baseline_10_30,0.20610099099210033,148568698056.36676
baseline_10_30,0.2344345518463198,130612811373.87941
baseline_10_30,0.11878968130739831,257767809146.53635
baseline_10_30,0.20336886631045073,150564619134.37836
baseline_10_30,0.10835518629779142,282590588840.5772
baseline_10_30,0.28291475044673436,108231033735.33122
baseline_10_30,0.15334529266694547,199681094654.3238
baseline_10_30,0.2724316868236175,112395721132.27768
baseline_10_30,0.18682734490442834,163895472129.55942
baseline_10_30,0.2526111857184615,121214568597.72589
baseline_10_30,0.2695436025116753,113600009848.11728
baseline_10_30,0.21344247003599984,143458590479.48065
baseline_10_30,0.2415445343996075,126768158823.93686
baseline_10_30,0.2684617993265756,114057776475.5828
baseline_10_30,0.24835278503591693,123292983790.75966
baseline_10_30,0.27384976356331353,111813702160.61552
baseline_10_30,0.10048915053917318,304711063189.7204
baseline_10_30,0.1962278643150953,156043872804.19376
baseline_10_30,0.2115347514526169,144752366642.14078
baseline_10_30,0.22091170758257708,138608117400.82843
baseline_10_30,0.24035936705199298,127393229044.40736
baseline_10_30,0.18799675634355206,162875979859.28516
baseline_10_30,0.1654172046559441,185108652775.93735
baseline_10_30,0.2667890171552936,114772925161.30762
baseline_10_30,0.17413542853480835,175841046003.47073
baseline_10_30,0.22776869905517497,134435311027.55194
baseline_10_30,0.20395359879897437,150132952201.56372
baseline_10_30,0.14913802240947333,205314214344.0298
baseline_10_30,0.12570564364590275,243586166951.0759
baseline_10_30,0.26893716399151973,113856171625.23828
baseline_10_30,0.22536493551632747,135869210663.45267
baseline_10_30,0.14724722150837424,207950653235.80243
baseline_10_30,0.18489752573899534,165606087898.91153
baseline_10_30,0.2587128645074745,118355753039.63547
baseline_10_30,0.13268948478914938,230765504504.59863
baseline_10_30,0.17240620824241307,177604717440.16095
baseline_10_30,0.2785037998009612,109945199748.4655
baseline_10_30,0.20249165998935761,151216874321.79987
baseline_10_30,0.19974545934024854,153295879670.85962
baseline_10_30,0.24653115121408112,124204003222.43086
baseline_10_30,0.29354496843547956,104311636009.36855
baseline_10_30,0.2720353368541492,112559479418.80878
baseline_10_30,0.16756832453431705,182732362962.50302
baseline_10_30,0.17604500658892258,173933680330.5278
baseline_10_30,0.24782574038468586,123555187819.85031
baseline_10_30,0.11612698483348793,263678213498.1712
baseline_10_30,0.20966592667350994,146042594453.15012
baseline_10_30,0.26860515844355437,113996901910.79465
baseline_10_30,0.26737706780835097,114520501517.99506
baseline_10_30,0.15287656339118605,200293329602.59818
baseline_10_30,0.2802022587143235,109278761849.81683
baseline_10_30,0.24504648001796406,124956522116.04344
baseline_10_30,0.2788980627306609,109789776235.89304
baseline_10_30,0.15856433154255017,193108725032.56833
baseline_10_30,0.17815387289350335,171874769840.82974
baseline_10_30,0.1492710833558956,205131196286.8122
baseline_10_30,0.16902800192530978,181154338636.46912
baseline_10_30,0.11327939780728635,270306485490.9899
baseline_10_30,0.1321631166942234,231684577858.94263
baseline_10_30,0.14725972844043012,207932991756.194
baseline_10_30,0.2068105000539782,148059000349.74707
baseline_10_30,0.11736673696346266,260892964156.92
baseline_10_30,0.15029563723609163,203732832588.638
baseline_10_30,0.1184543664443201,258497485731.9121
baseline_10_30,0.11219184934570314,272926741812.3369
baseline_10_30,0.27269178893710394,112288514513.67253
baseline_10_30,0.18523142102725204,165307568931.93814
baseline_10_30,0.15186836254997332,201623006830.982
