species_name,count
elephantidae,6445
manidae,2493
plantae,2483
panthera tigris,2254
panthera pardus,1901
rhinocerotidae,1768
scleractinia,800
pterocarpus santalinus,780
tracheophyta,645
testudines,628
animalia,610
tectona grandis,598
panthera leo,564
loxodonta,552
cervidae,467
ursidae,445
loxodonta africana,424
actinopterygii,412
aves,378
dalbergia cochinchinensis,328
serpentes,309
dalbergia,308
elasmobranchii,304
helarctos malayanus,302
aliger gigas,298
elephas maximus,296
acinonyx jubatus,293
ursus thibetanus,288
hippocampus,286
manis javanica,286
holothuroidea,276
pythonidae,263
haliotis,258
ceratotherium simum,250
varanus,237
psittacidae,233
crocodylia,201
chelonia mydas,200
panthera tigris sumatrae,197
sus scrofa,195
geochelone elegans,194
eretmochelys imbricata,188
cheloniidae,187
primates,186
tridacnidae,185
panthera tigris tigris,179
crocodylidae,174
prionailurus bengalensis,164
pinus,161
totoaba macdonaldi,157
macaca,154
pan troglodytes,152
shorea,151
ursus arctos,147
bovidae,145
pterocarpus macrocarpus,144
hippopotamus amphibius,144
psittacus erithacus,142
diceros bicornis,141
aquilaria,139
astrochelys radiata,137
panthera uncia,131
testudinidae,130
canis lupus,130
haliotis midae,122
boa constrictor,121
macaca fascicularis,116
accipitridae,116
saiga tatarica,115
panthera onca,114
panthera tigris altaica,109
moschus,104
viverridae,102
python regius,102
rhinoceros unicornis,102
arapaima gigas,101
saiga,100
acipenseriformes,100
axis axis,100
rusa unicolor,98
iguana iguana,98
falconidae,96
hirudo medicinalis,96
fowlea piscator,95
ophiophagus hannah,93
neofelis nebulosa,91
anthozoa,90
anguilla anguilla,90
connochaetes,89
rodentia-hystricomorpha,88
geoclemys hamiltonii,86
malayopython reticulatus,84
muntiacus,84
paradoxurus hermaphroditus,84
vulpes vulpes,83
squamata-lacertilia,82
ara ararauna,82
smutsia gigantea,81
naja naja,80
acropora,80
python,79
aquilaria sinensis,79
psittacula krameri,78
gekko gecko,78
strigiformes,76
copsychus malabaricus,76
ursus americanus,76
psittaciformes,75
python bivittatus,75
elapidae,74
theraphosidae,74
nilssonia gangetica,73
rhinoplax vigil,73
crocodylus niloticus,72
xylia xylocarpa,72
acipenseridae,72
corallium,71
aepyceros melampus,70
erythrophleum ivorense,69
gracula religiosa,67
equus,67
eryx johnii,67
testudo graeca,65
sicalis flaveola,65
